	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K15372	K15372	K15372: taurine---2-oxoglutarate transaminase [EC:2.6.1.55]	72	14	5.91E-05	3.34E-05	0.564507099	0.056556052
K00338	K00338	K00338: NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	72	14	0.00040047	0.000617269	1.541362645	0.056556052
K00674	K00674	"K00674: 2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [EC:2.3.1.117]"	72	14	0.000146508	0.000220144	1.502608122	0.056556052
K00684	K00684	K00684: leucyl/phenylalanyl-tRNA--protein transferase	72	14	0.000279831	0.000413201	1.476609105	0.056556052
K02045	K02045	K02045: sulfate transport system ATP-binding protein [EC:3.6.3.25]	72	14	0.000287995	0.00018942	0.657721373	0.056556052
K03798	K03798	K03798: cell division protease FtsH	72	14	0.000528153	0.000397482	0.752588626	0.056556052
K03199	K03199	K03199: type IV secretion system protein VirB4	72	14	3.16E-06	6.27E-05	19.85441893	0.057318079
K08993	K08993	K08993: putative membrane protein	72	14	7.80E-05	0.000168336	2.158848161	0.057318079
K08310	K08310	K08310: dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]	72	14	4.51E-05	8.51E-05	1.886867079	0.057318079
K02836	K02836	K02836: peptide chain release factor RF-2	72	14	0.000766686	0.000601168	0.784112709	0.058088626
K00121	K00121	K00121: S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	72	14	4.79E-05	8.96E-05	1.871241245	0.058088626
K11752	K11752	K11752: diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	72	14	0.00046499	0.000397801	0.855503851	0.058088626
K07098	K07098	K07098: NO_NAME	72	14	0.000397956	0.000304442	0.765015223	0.058088626
K03617	K03617	K03617: electron transport complex protein RnfA	72	14	0.000784328	0.000585046	0.745920063	0.058088626
K03316	K03316	"K03316: monovalent cation:H+ antiporter, CPA1 family"	72	14	7.76E-05	0.000184548	2.379690188	0.058088626
K04085	K04085	K04085: tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]	72	14	5.25E-05	0.000120276	2.291725575	0.058088626
K00395	K00395	"K00395: adenylylsulfate reductase, subunit B [EC:1.8.99.2]"	72	14	0.000117134	6.82E-05	0.582559631	0.058088626
K00548	K00548	K00548: 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	72	14	0.000321952	0.000210528	0.653911632	0.058088626
K00813	K00813	K00813: aspartate aminotransferase [EC:2.6.1.1]	72	14	6.85E-05	0.000122655	1.79165541	0.058088626
K02849	K02849	K02849: heptosyltransferase III [EC:2.4.-.-]	72	14	1.66E-05	5.72E-05	3.444200742	0.058088626
K14170	K14170	K14170: chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]	72	14	0.000487654	0.000363456	0.745315975	0.058088626
K02841	K02841	K02841: heptosyltransferase I [EC:2.4.-.-]	72	14	4.96E-05	0.000110598	2.230970787	0.059655553
K06219	K06219	K06219: S-adenosylmethionine-dependent methyltransferase	72	14	6.43E-05	0.000160791	2.502455705	0.059655553
K00335	K00335	K00335: NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	72	14	0.000166197	0.00026401	1.588534521	0.059655553
K12500	K12500	K12500: thioesterase III	72	14	8.75E-05	0.000179214	2.048341235	0.059655553
K15773	K15773	K15773: NO_NAME	72	14	4.57E-05	9.75E-05	2.132152938	0.059655553
K01920	K01920	K01920: glutathione synthase [EC:6.3.2.3]	72	14	6.31E-05	0.000121112	1.918953401	0.059655553
K09020	K09020	K09020: ureidoacrylate peracid hydrolase [EC:3.5.1.110]	72	14	2.64E-05	5.82E-05	2.203126747	0.059655553
K01921	K01921	K01921: D-alanine-D-alanine ligase [EC:6.3.2.4]	72	14	0.001024793	0.001124863	1.097648695	0.059655553
K06861	K06861	K06861: lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]	72	14	0.000419426	0.000639852	1.525543089	0.059655553
K01915	K01915	K01915: glutamine synthetase [EC:6.3.1.2]	72	14	0.000988845	0.000848281	0.857849911	0.059655553
K00966	K00966	K00966: mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	72	14	4.30E-05	4.89E-05	1.136176742	0.060452071
K18326	K18326	"K18326: MFS transporter, DHA2 family, multidrug resistance protein"	72	14	4.47E-05	0.000101675	2.273781233	0.060452071
K18920	K18920	K18920: NO_NAME	72	14	4.18E-05	0.000223113	5.332445366	0.060452071
K08154	K08154	"K08154: MFS transporter, DHA1 family, 2-module integral membrane pump EmrD"	72	14	3.44E-05	8.62E-05	2.504267511	0.061257383
K01218	K01218	"K01218: mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"	72	14	0.000227836	4.50E-05	0.197522312	0.061257383
K06391	K06391	K06391: stage III sporulation protein AB	72	14	7.08E-05	3.18E-05	0.449415727	0.061257383
K02030	K02030	K02030: polar amino acid transport system substrate-binding protein	72	14	0.001133383	0.000812191	0.716607635	0.061257383
K16868	K16868	K16868: NO_NAME	72	14	8.69E-05	0.000140588	1.618379694	0.061257383
K02843	K02843	K02843: heptosyltransferase II [EC:2.4.-.-]	72	14	0.00014749	0.000310705	2.106618407	0.061257383
K03446	K03446	"K03446: MFS transporter, DHA2 family, multidrug resistance protein B"	72	14	8.05E-05	0.000171219	2.128208629	0.061257383
K07678	K07678	"K07678: two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"	72	14	8.56E-06	3.60E-05	4.21049816	0.061257383
K03449	K03449	"K03449: MFS transporter, CP family, cyanate transporter"	72	14	0.000156313	0.000253028	1.618722366	0.061257383
K03592	K03592	K03592: PmbA protein	72	14	5.47E-05	8.42E-05	1.539556966	0.062894669
K07462	K07462	K07462: single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	72	14	0.000591378	0.00045202	0.76435096	0.062894669
K11719	K11719	K11719: lipopolysaccharide export system protein LptC	72	14	5.65E-05	0.000142646	2.524672154	0.062894669
K11996	K11996	K11996: adenylyltransferase and sulfurtransferase [EC:2.7.7.80]	72	14	0.000204191	0.00029917	1.465145707	0.062894669
K01154	K01154	"K01154: type I restriction enzyme, S subunit"	72	14	0.000548372	0.000381754	0.696159439	0.062894669
K01008	K01008	"K01008: selenide, water dikinase [EC:2.7.9.3]"	72	14	0.000268406	0.000170467	0.635109238	0.062894669
K15023	K15023	K15023: 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]	72	14	4.57E-05	1.38E-05	0.300932004	0.062894669
K03644	K03644	K03644: lipoyl synthase [EC:2.8.1.8]	72	14	0.00045113	0.000687639	1.52425719	0.062894669
K09898	K09898	K09898: hypothetical protein	72	14	9.61E-05	0.000195948	2.038003408	0.062894669
K02409	K02409	K02409: flagellar M-ring protein FliF	72	14	0.000173075	0.000113308	0.654676328	0.062894669
K10748	K10748	K10748: DNA replication terminus site-binding protein	72	14	7.12E-05	0.000155151	2.178811187	0.062894669
K03701	K03701	K03701: excinuclease ABC subunit A	72	14	0.000117232	0.000104619	0.892408799	0.063726782
K11748	K11748	K11748: glutathione-regulated potassium-efflux system ancillary protein KefG	72	14	7.83E-05	0.000200747	2.562717439	0.063726782
K10558	K10558	K10558: AI-2 transport system ATP-binding protein	72	14	2.01E-05	7.80E-05	3.887143137	0.063726782
K01295	K01295	K01295: glutamate carboxypeptidase	72	14	3.15E-05	1.49E-05	0.47352741	0.063726782
K06149	K06149	K06149: universal stress protein A	72	14	0.000110418	0.000210666	1.907905226	0.063726782
K04026	K04026	K04026: ethanolamine utilization protein EutL	72	14	4.56E-05	9.47E-05	2.075620408	0.064567968
K01876	K01876	K01876: aspartyl-tRNA synthetase [EC:6.1.1.12]	72	14	0.001235003	0.000984482	0.797149096	0.064567968
K00242	K00242	"K00242: succinate dehydrogenase / fumarate reductase, membrane anchor subunit"	72	14	9.12E-05	0.000208954	2.291795947	0.064567968
K10563	K10563	K10563: formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	72	14	0.000189571	0.000247134	1.303645957	0.064567968
K02189	K02189	K02189: cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	72	14	0.000172162	9.85E-05	0.57237393	0.064567968
K07042	K07042	K07042: NO_NAME	72	14	0.000539851	0.000424014	0.785427948	0.064567968
K06190	K06190	K06190: intracellular septation protein	72	14	7.87E-05	0.000149471	1.899966975	0.064567968
K10015	K10015	K10015: histidine transport system permease protein	72	14	7.63E-05	0.000148356	1.945010741	0.064567968
K03436	K03436	"K03436: DeoR family transcriptional regulator, fructose operon"	72	14	0.000421196	0.000305494	0.725300577	0.064567968
K11747	K11747	K11747: glutathione-regulated potassium-efflux system protein KefB	72	14	6.86E-05	0.000144109	2.099740649	0.064567968
K07454	K07454	K07454: putative restriction endonuclease	72	14	1.97E-05	0.000164395	8.35616088	0.064567968
K03765	K03765	K03765: transcriptional activator of cad operon	72	14	7.83E-05	0.000147029	1.878583748	0.065418296
K01414	K01414	K01414: oligopeptidase A	72	14	7.10E-05	0.000215221	3.032593785	0.065418296
K02525	K02525	"K02525: LacI family transcriptional regulator, kdg operon repressor"	72	14	1.20E-05	3.40E-05	2.839335634	0.065418296
K12265	K12265	K12265: nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]	72	14	3.68E-05	7.64E-05	2.07424662	0.065418296
K18979	K18979	K18979: NO_NAME	72	14	7.86E-05	0.000130824	1.665094526	0.065418296
K00564	K00564	K00564: ribosomal RNA small subunit methyltransferase C	72	14	8.16E-05	0.000121164	1.48419416	0.065418296
K03702	K03702	K03702: excinuclease ABC subunit B	72	14	0.000438949	0.000311746	0.710208348	0.066277837
K06078	K06078	K06078: murein lipoprotein lipoprotein	72	14	9.43E-05	0.000183219	1.942008136	0.066277837
K09857	K09857	K09857: hypothetical protein	72	14	5.39E-05	0.000145169	2.693915221	0.066277837
K11932	K11932	K11932: universal stress protein G	72	14	8.21E-05	0.000211901	2.579799167	0.066277837
K02413	K02413	K02413: flagellar FliJ protein	72	14	0.000174819	0.000113334	0.648292931	0.066277837
K19117	K19117	K19117: NO_NAME	72	14	9.07E-05	4.32E-05	0.475657346	0.066277837
K16698	K16698	K16698: NO_NAME	72	14	1.03E-05	1.87E-06	0.180969354	0.066277837
K03631	K03631	K03631: DNA repair protein RecN (Recombination protein N)	72	14	0.000495671	0.000395475	0.797858138	0.066277837
K01525	K01525	K01525: bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	72	14	4.61E-05	0.000104065	2.259299975	0.066277837
K13953	K13953	"K13953: alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	72	14	7.23E-05	0.000105422	1.458232429	0.066277837
K06864	K06864	K06864: NO_NAME	72	14	4.77E-05	4.48E-05	0.938375948	0.067146661
K02681	K02681	K02681: prepilin peptidase dependent protein C	72	14	3.40E-05	8.22E-05	2.416785059	0.067146661
K14989	K14989	"K14989: two-component system, NarL family, secretion system response regulator SalR"	72	14	4.63E-06	1.08E-05	2.341284502	0.067146661
K07479	K07479	K07479: putative DNA topoisomerase	72	14	9.38E-05	0.000189833	2.023303501	0.067146661
K00008	K00008	K00008: L-iditol 2-dehydrogenase [EC:1.1.1.14]	72	14	0.000524802	0.000340467	0.648752744	0.068024837
K07166	K07166	K07166: ACT domain-containing protein	72	14	0.000516142	0.000376332	0.72912377	0.068024837
K09895	K09895	K09895: hypothetical protein	72	14	5.73E-05	0.000126694	2.209959118	0.068024837
K01662	K01662	K01662: 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	72	14	0.000885153	0.000666492	0.752967526	0.068024837
K00247	K00247	K00247: fumarate reductase subunit D	72	14	8.87E-05	0.00020124	2.269489044	0.068024837
K03610	K03610	K03610: septum site-determining protein MinC	72	14	0.000232499	0.000163067	0.701365843	0.068024837
K02565	K02565	K02565: N-acetylglucosamine repressor	72	14	4.73E-05	8.57E-05	1.810661918	0.068024837
K06884	K06884	K06884: NO_NAME	72	14	3.92E-05	8.84E-05	2.255362321	0.068024837
K03828	K03828	K03828: putative acetyltransferase	72	14	5.73E-05	0.000168265	2.936583251	0.068024837
K02300	K02300	K02300: cytochrome o ubiquinol oxidase subunit IV	72	14	7.51E-05	0.000145585	1.937837417	0.068024837
K19124	K19124	K19124: NO_NAME	72	14	4.62E-05	3.89E-05	0.840759585	0.068024837
K01212	K01212	K01212: levanase [EC:3.2.1.65]	72	14	2.17E-05	5.80E-06	0.267384976	0.068024837
K18707	K18707	K18707: NO_NAME	72	14	0.000380485	0.00032302	0.848968762	0.068024837
K06880	K06880	K06880: NO_NAME	72	14	1.15E-05	3.11E-06	0.269428819	0.068024837
K02405	K02405	K02405: RNA polymerase sigma factor for flagellar operon FliA	72	14	0.00020562	0.000139663	0.679227235	0.068024837
K09024	K09024	K09024: flavin reductase [EC:1.5.1.-]	72	14	3.98E-05	9.44E-05	2.375219404	0.068024837
K09858	K09858	K09858: SEC-C motif domain protein	72	14	0.000118242	0.00019429	1.64315696	0.068024837
K01880	K01880	K01880: glycyl-tRNA synthetase [EC:6.1.1.14]	72	14	0.000536336	0.000412109	0.768379452	0.068024837
K01676	K01676	"K01676: fumarate hydratase, class I [EC:4.2.1.2]"	72	14	0.000192068	0.00031916	1.661700154	0.068024837
K04025	K04025	K04025: ethanolamine utilization protein EutK	72	14	3.57E-05	0.000103731	2.902343445	0.068912437
K16347	K16347	K16347: NO_NAME	72	14	0.000151545	0.000499455	3.295767012	0.068912437
K02682	K02682	K02682: prepilin peptidase dependent protein D	72	14	5.54E-05	0.000123945	2.237911373	0.068912437
K01816	K01816	K01816: hydroxypyruvate isomerase [EC:5.3.1.22]	72	14	5.18E-05	7.51E-05	1.450436765	0.06980953
K13628	K13628	K13628: NO_NAME	72	14	7.61E-05	0.000142357	1.8705747	0.06980953
K00702	K00702	K00702: cellobiose phosphorylase [EC:2.4.1.20]	72	14	0.000104103	4.87E-05	0.467494661	0.06980953
K03320	K03320	"K03320: ammonium transporter, Amt family"	72	14	0.000847802	0.0006148	0.725169126	0.06980953
K02778	K02778	"K02778: PTS system, glucose-specific IIB component [EC:2.7.1.199]"	72	14	8.29E-05	0.00017415	2.101180225	0.06980953
K02855	K02855	"K02855: AraC family transcriptional regulator, L-rhamnose operon regulatory"	72	14	4.63E-05	9.63E-05	2.081875765	0.06980953
K01585	K01585	K01585: arginine decarboxylase [EC:4.1.1.19]	72	14	0.000123211	0.000235918	1.914750261	0.06980953
K04775	K04775	K04775: protease YdgD	72	14	5.60E-05	0.000114439	2.044797417	0.06980953
K00795	K00795	K00795: farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	72	14	5.11E-05	9.33E-05	1.824556	0.06980953
K02523	K02523	K02523: octaprenyl-diphosphate synthase [EC:2.5.1.90]	72	14	0.000338223	0.000456686	1.350253414	0.06980953
K16693	K16693	K16693: NO_NAME	72	14	5.98E-05	0.000117019	1.956201551	0.06980953
K03764	K03764	"K03764: transcriptional repressor of met regulon (beta-ribbon, MetJ family)"	72	14	9.18E-05	0.000177437	1.932643943	0.06980953
K03389	K03389	K03389: heterodisulfide reductase subunit B [EC:1.8.98.1]	72	14	6.66E-05	2.67E-05	0.400754462	0.070716187
K09891	K09891	K09891: hypothetical protein	72	14	5.86E-05	9.38E-05	1.601138103	0.070716187
K00065	K00065	K00065: 2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]	72	14	0.000122995	0.000205125	1.667755059	0.070716187
K01941	K01941	K01941: urea carboxylase [EC:6.3.4.6]	72	14	1.40E-05	4.74E-06	0.339100032	0.070716187
K11258	K11258	K11258: acetolactate synthase II small subunit [EC:2.2.1.6]	72	14	0.00010197	0.000175944	1.725441714	0.070716187
K13012	K13012	K13012: NO_NAME	72	14	7.59E-05	5.71E-05	0.753211291	0.070716187
K05527	K05527	K05527: BolA protein	72	14	0.000104897	0.000187649	1.788888972	0.071632479
K03518	K03518	K03518: carbon-monoxide dehydrogenase small subunit [EC:1.2.7.4]	72	14	0.000168852	0.000143583	0.850342966	0.071632479
K11750	K11750	K11750: esterase FrsA	72	14	4.20E-05	0.000102428	2.440513494	0.071632479
K11746	K11746	K11746: glutathione-regulated potassium-efflux system ancillary protein KefF	72	14	5.77E-05	0.000165107	2.863603796	0.071632479
K15737	K15737	K15737: NO_NAME	72	14	3.91E-05	9.59E-05	2.449902676	0.071632479
K06194	K06194	K06194: lipoprotein NlpD	72	14	2.16E-05	5.34E-05	2.48017322	0.071632479
K06447	K06447	K06447: succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]	72	14	3.12E-05	0.000106683	3.422065197	0.071632479
K03281	K03281	"K03281: chloride channel protein, CIC family"	72	14	0.000487609	0.000646864	1.326605383	0.071632479
K03106	K03106	K03106: signal recognition particle subunit SRP54 [EC:3.6.5.4]	72	14	0.000419056	0.00032522	0.776077768	0.071632479
K09117	K09117	K09117: hypothetical protein	72	14	0.000642111	0.000445809	0.694286375	0.071632479
K13277	K13277	K13277: minor extracellular protease Epr [EC:3.4.21.-]	72	14	1.96E-05	5.18E-06	0.264081639	0.071632479
K01693	K01693	K01693: imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	72	14	0.000505375	0.00036524	0.72271123	0.071632479
K02521	K02521	"K02521: LysR family transcriptional regulator, positive regulator for ilvC"	72	14	4.37E-05	8.25E-05	1.887474207	0.071632479
K02371	K02371	K02371: enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	72	14	0.000332665	0.000228767	0.687678308	0.071632479
K03546	K03546	K03546: exonuclease SbcC	72	14	0.000134363	8.39E-05	0.624255003	0.071632479
K04564	K04564	"K04564: superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"	72	14	0.000187406	0.000293713	1.56725158	0.071632479
K16704	K16704	K16704: NO_NAME	72	14	5.69E-05	0.000121753	2.139906498	0.071632479
K01661	K01661	K01661: naphthoate synthase [EC:4.1.3.36]	72	14	0.00022726	0.000391007	1.72053096	0.071632479
K05934	K05934	K05934: precorrin-3B C17-methyltransferase [EC:2.1.1.131]	72	14	0.00021928	0.000153247	0.698864961	0.071632479
K03824	K03824	K03824: putative acetyltransferase	72	14	7.39E-05	0.000154582	2.091055586	0.071632479
K08308	K08308	K08308: membrane-bound lytic murein transglycosylase E	72	14	3.61E-05	0.000115623	3.199583671	0.072558476
K02505	K02505	K02505: protein transport protein HofC	72	14	5.41E-05	8.54E-05	1.579415297	0.072558476
K07336	K07336	K07336: PKHD-type hydroxylase	72	14	4.64E-05	0.00010301	2.21779225	0.072558476
K02416	K02416	K02416: flagellar motor switch protein FliM	72	14	0.000156673	0.000100294	0.64014598	0.073494249
K00384	K00384	K00384: thioredoxin reductase (NADPH) [EC:1.8.1.9]	72	14	0.001173587	0.000953932	0.812834421	0.073494249
K18778	K18778	K18778: NO_NAME	72	14	5.59E-05	0.000120119	2.150454756	0.073494249
K01534	K01534	K01534: Zn2+-exporting ATPase	72	14	0.00040648	0.000313454	0.771142215	0.073494249
K01485	K01485	K01485: cytosine deaminase [EC:3.5.4.1]	72	14	5.41E-05	0.000114306	2.113866492	0.073494249
K00373	K00373	K00373: nitrate reductase delta subunit	72	14	7.69E-05	0.000200424	2.607057849	0.073494249
K15342	K15342	K15342: NO_NAME	72	14	0.000301	0.000186463	0.619477921	0.073494249
K03322	K03322	K03322: manganese transport protein	72	14	0.000434941	0.000579268	1.331830972	0.073494249
K12262	K12262	K12262: cytochrome b561	72	14	5.56E-05	0.000104883	1.887766309	0.073494249
K09954	K09954	K09954: hypothetical protein	72	14	0.000135538	0.000234565	1.730619516	0.073494249
K10002	K10002	K10002: glutamate/aspartate transport system permease protein	72	14	5.75E-05	0.000108349	1.883766135	0.073494249
K08162	K08162	"K08162: MFS transporter, DHA1 family, multidrug resistance protein"	72	14	2.85E-05	6.57E-05	2.304686343	0.073494249
K07464	K07464	K07464: putative RecB family exonuclease	72	14	0.000196387	0.000107077	0.545234034	0.073494249
K03721	K03721	"K03721: transcriptional regulator of aroF, aroG, tyrA and aromatic amino"	72	14	5.39E-05	9.77E-05	1.812995653	0.073494249
K05540	K05540	K05540: tRNA-dihydrouridine synthase B	72	14	7.19E-05	0.000129646	1.80364322	0.073494249
K09911	K09911	K09911: hypothetical protein	72	14	4.99E-05	9.95E-05	1.995841875	0.073494249
K01241	K01241	K01241: AMP nucleosidase [EC:3.2.2.4]	72	14	6.30E-05	0.000133043	2.112329649	0.073494249
K03809	K03809	K03809: NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	72	14	2.70E-05	4.51E-05	1.668907159	0.073494249
K07490	K07490	K07490: ferrous iron transport protein C	72	14	6.99E-05	0.000168472	2.408839325	0.07443987
K03089	K03089	K03089: RNA polymerase sigma-32 factor	72	14	6.94E-05	0.000130088	1.874992661	0.07443987
K05839	K05839	K05839: haemolysin expression modulating protein	72	14	9.50E-05	0.000254917	2.683269619	0.075395409
K19225	K19225	K19225: NO_NAME	72	14	0.000149462	9.24E-05	0.618223929	0.075395409
K05967	K05967	K05967: hypothetical protein	72	14	2.33E-05	6.04E-06	0.259852367	0.075395409
K05984	K05984	K05984: excinuclease Cho	72	14	4.31E-05	9.08E-05	2.104735589	0.075395409
K06177	K06177	K06177: ribosomal large subunit pseudouridine synthase A	72	14	0.000244393	0.00034492	1.411329614	0.075395409
K10747	K10747	K10747: DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	72	14	1.44E-05	2.42E-06	0.168398363	0.075395409
K03810	K03810	K03810: virulence factor	72	14	3.83E-05	8.90E-05	2.326194345	0.075395409
K06182	K06182	K06182: ribosomal large subunit pseudouridine synthase F	72	14	0.000272049	0.000187731	0.690064873	0.075395409
K02899	K02899	K02899: large subunit ribosomal protein L27	72	14	0.000776466	0.000993928	1.280065208	0.075395409
K01433	K01433	K01433: formyltetrahydrofolate deformylase [EC:3.5.1.10]	72	14	0.000214048	0.000309559	1.446211836	0.075395409
K11926	K11926	K11926: sigma factor-binding protein Crl	72	14	4.59E-05	0.000104729	2.282013352	0.075395409
K07473	K07473	K07473: DNA-damage-inducible protein J	72	14	0.001248293	0.000848405	0.679652119	0.075395409
K07165	K07165	K07165: transmembrane sensor	72	14	2.82E-05	5.98E-05	2.123453431	0.076360936
K07127	K07127	K07127: 5-hydroxyisourate hydrolase [EC:3.5.2.17]	72	14	4.53E-05	0.000151642	3.346135756	0.076360936
K02169	K02169	K02169: malonyl-CoA O-methyltransferase [EC:2.1.1.197]	72	14	9.86E-05	0.000177733	1.801975892	0.077336524
K03589	K03589	K03589: cell division protein FtsQ	72	14	0.000426786	0.000344878	0.808081497	0.077336524
K07037	K07037	K07037: NO_NAME	72	14	9.24E-05	0.000113819	1.232217642	0.077336524
K03412	K03412	"K03412: two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]"	72	14	0.000156411	0.000104492	0.668064673	0.077336524
K15585	K15585	K15585: nickel transport system permease protein	72	14	5.57E-05	0.000103362	1.855175999	0.077336524
K15722	K15722	K15722: NO_NAME	72	14	2.37E-05	6.13E-05	2.585317868	0.077336524
K16013	K16013	"K16013: ATP-binding cassette, subfamily C, bacterial CydD"	72	14	4.83E-05	8.53E-05	1.764988205	0.077336524
K03634	K03634	K03634: outer membrane lipoproteins carrier protein	72	14	6.96E-05	0.000133578	1.918050084	0.077336524
K06075	K06075	"K06075: MarR family transcriptional regulator, transcriptional regulator for"	72	14	0.000113576	0.000218938	1.927671298	0.077336524
K03169	K03169	K03169: DNA topoisomerase III	72	14	0.000994217	0.000827306	0.832118193	0.077336524
K01963	K01963	K01963: acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	72	14	0.000478108	0.000348433	0.728776073	0.077336524
K17247	K17247	K17247: NO_NAME	72	14	5.42E-05	0.000103051	1.901334304	0.077336524
K07054	K07054	K07054: NO_NAME	72	14	5.83E-05	0.000112711	1.933882859	0.077336524
K15724	K15724	K15724: NO_NAME	72	14	4.32E-05	0.000102325	2.366216019	0.077336524
K00380	K00380	K00380: sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	72	14	8.13E-05	0.000137508	1.690431688	0.077336524
K16958	K16958	K16958: L-cystine transport system permease protein	72	14	1.98E-05	3.33E-05	1.684279481	0.077336524
K03200	K03200	K03200: type IV secretion system protein VirB5	72	14	1.34E-05	8.38E-05	6.236207924	0.077336524
K00020	K00020	K00020: 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	72	14	1.27E-05	2.92E-05	2.296729543	0.077336524
K12266	K12266	K12266: anaerobic nitric oxide reductase transcription regulator	72	14	3.55E-05	7.84E-05	2.205788402	0.078322243
K17076	K17076	K17076: putative lysine transport system ATP-binding protein [EC:3.6.3.-]	72	14	0.000153521	8.45E-05	0.550614899	0.079318164
K00627	K00627	K00627: pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	72	14	8.63E-05	0.000124028	1.436836311	0.079318164
K03566	K03566	"K03566: LysR family transcriptional regulator, glycine cleavage system"	72	14	7.03E-05	0.000122638	1.745250705	0.079318164
K00334	K00334	K00334: NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	72	14	0.000344843	0.000524526	1.521057792	0.079318164
K11531	K11531	K11531: lsr operon transcriptional repressor	72	14	2.48E-05	6.98E-05	2.813377721	0.079318164
K07004	K07004	K07004: NO_NAME	72	14	1.19E-05	1.93E-05	1.619718227	0.079318164
K04754	K04754	K04754: lipoprotein	72	14	5.31E-05	0.000109945	2.071849731	0.079318164
K00937	K00937	K00937: polyphosphate kinase [EC:2.7.4.1]	72	14	0.000385036	0.000262828	0.6826052	0.079318164
K13069	K13069	K13069: NO_NAME	72	14	6.38E-05	0.000133352	2.089337975	0.079318164
K09907	K09907	K09907: hypothetical protein	72	14	5.97E-05	0.000119828	2.006592335	0.079318164
K01652	K01652	K01652: acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	72	14	0.000991345	0.000822445	0.829625973	0.079318164
K00382	K00382	K00382: dihydrolipoamide dehydrogenase [EC:1.8.1.4]	72	14	0.00052789	0.000726973	1.377127855	0.079318164
K09696	K09696	K09696: sodium transport system permease protein	72	14	1.33E-05	4.56E-06	0.342977938	0.079318164
K15833	K15833	K15833: NO_NAME	72	14	6.99E-05	0.000150216	2.149098794	0.080324358
K00867	K00867	K00867: type I pantothenate kinase [EC:2.7.1.33]	72	14	0.000136281	0.000210957	1.547954047	0.080324358
K03214	K03214	"K03214: RNA methyltransferase, TrmH family"	72	14	3.75E-05	8.50E-05	2.266475545	0.080324358
K08321	K08321	K08321: putative autoinducer-2 (AI-2) aldolase	72	14	4.05E-05	6.19E-05	1.526891551	0.080324358
K18929	K18929	K18929: NO_NAME	72	14	0.000137784	0.000322152	2.338098481	0.081340898
K00042	K00042	K00042: 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	72	14	0.000112425	0.000183386	1.631184949	0.081340898
K03611	K03611	K03611: disulfide bond formation protein DsbB	72	14	9.90E-05	0.000203758	2.057989651	0.081340898
K07278	K07278	K07278: outer membrane protein	72	14	7.42E-05	0.000154935	2.0888452	0.081340898
K01146	K01146	K01146: NO_NAME	72	14	2.18E-05	5.66E-05	2.593281881	0.081340898
K06175	K06175	K06175: tRNA pseudouridine synthase C	72	14	4.05E-05	8.39E-05	2.071441385	0.081340898
K12555	K12555	K12555: penicillin-binding protein 2A [EC:2.4.1.129 2.3.2.-]	72	14	1.89E-06	1.90E-06	1.008612902	0.081340898
K07662	K07662	"K07662: two-component system, OmpR family, response regulator CpxR"	72	14	4.65E-05	0.000119509	2.569634297	0.081340898
