,AClass,BClass,ID,Name
map00740,Metabolism,Metabolism of cofactors and vitamins,map00740,Riboflavin metabolism
map00073,Metabolism,Lipid metabolism,map00073,"Cutin, suberine and wax biosynthesis"
map00603,Metabolism,Glycan biosynthesis and metabolism,map00603,Glycosphingolipid biosynthesis - globo and isoglobo series
map00472,Metabolism,Metabolism of other amino acids,map00472,D-Arginine and D-ornithine metabolism
map00640,Metabolism,Carbohydrate metabolism,map00640,Propanoate metabolism
map04978,Organismal Systems,Digestive system,map04978,Mineral absorption
map00790,Metabolism,Metabolism of cofactors and vitamins,map00790,Folate biosynthesis
map00941,Metabolism,Biosynthesis of other secondary metabolites,map00941,Flavonoid biosynthesis
map04611,Organismal Systems,Immune system,map04611,Platelet activation
map05146,Human Diseases,Infectious disease: parasitic,map05146,Amoebiasis
map04744,Organismal Systems,Sensory system,map04744,Phototransduction
map05012,Human Diseases,Neurodegenerative disease,map05012,Parkinson disease
map01110,Metabolism,Global and overview maps,map01110,Biosynthesis of secondary metabolites
map00250,Metabolism,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism"
map04011,Environmental Information Processing,Signal transduction,map04011,MAPK signaling pathway - yeast
map05163,Human Diseases,Infectious disease: viral,map05163,Human cytomegalovirus infection
map04111,Cellular Processes,Cell growth and death,map04111,Cell cycle - yeast
map05222,Human Diseases,Cancer: specific types,map05222,Small cell lung cancer
map05218,Human Diseases,Cancer: specific types,map05218,Melanoma
map00770,Metabolism,Metabolism of cofactors and vitamins,map00770,Pantothenate and CoA biosynthesis
map04622,Organismal Systems,Immune system,map04622,RIG-I-like receptor signaling pathway
map04724,Organismal Systems,Nervous system,map04724,Glutamatergic synapse
map01100,Metabolism,Global and overview maps,map01100,Metabolic pathways
map05020,Human Diseases,Neurodegenerative disease,map05020,Prion disease
map04726,Organismal Systems,Nervous system,map04726,Serotonergic synapse
map00785,Metabolism,Metabolism of cofactors and vitamins,map00785,Lipoic acid metabolism
map04141,Genetic Information Processing,"Folding, sorting and degradation",map04141,Protein processing in endoplasmic reticulum
map01522,Human Diseases,Drug resistance: antineoplastic,map01522,Endocrine resistance
map04071,Environmental Information Processing,Signal transduction,map04071,Sphingolipid signaling pathway
map00360,Metabolism,Amino acid metabolism,map00360,Phenylalanine metabolism
map04320,Organismal Systems,Development and regeneration,map04320,Dorso-ventral axis formation
map00364,Metabolism,Xenobiotics biodegradation and metabolism,map00364,Fluorobenzoate degradation
map03460,Genetic Information Processing,Replication and repair,map03460,Fanconi anemia pathway
map04139,Cellular Processes,Transport and catabolism,map04139,Mitophagy - yeast
map00380,Metabolism,Amino acid metabolism,map00380,Tryptophan metabolism
map04666,Organismal Systems,Immune system,map04666,Fc gamma R-mediated phagocytosis
map01230,Metabolism,Global and overview maps,map01230,Biosynthesis of amino acids
map00330,Metabolism,Amino acid metabolism,map00330,Arginine and proline metabolism
map00791,Metabolism,Xenobiotics biodegradation and metabolism,map00791,Atrazine degradation
map00660,Metabolism,Carbohydrate metabolism,map00660,C5-Branched dibasic acid metabolism
map05310,Human Diseases,Immune disease,map05310,Asthma
map04013,Environmental Information Processing,Signal transduction,map04013,MAPK signaling pathway - fly
map05143,Human Diseases,Infectious disease: parasitic,map05143,African trypanosomiasis
map02040,Cellular Processes,Cell motility,map02040,Flagellar assembly
map00053,Metabolism,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism
map00984,Metabolism,Xenobiotics biodegradation and metabolism,map00984,Steroid degradation
map00920,Metabolism,Energy metabolism,map00920,Sulfur metabolism
map00332,Metabolism,Biosynthesis of other secondary metabolites,map00332,Carbapenem biosynthesis
map04022,Environmental Information Processing,Signal transduction,map04022,cGMP-PKG signaling pathway
map00072,Metabolism,Lipid metabolism,map00072,Synthesis and degradation of ketone bodies
map00512,Metabolism,Glycan biosynthesis and metabolism,map00512,Mucin type O-glycan biosynthesis
map00945,Metabolism,Biosynthesis of other secondary metabolites,map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
map04520,Cellular Processes,Cellular community - eukaryotes,map04520,Adherens junction
map05224,Human Diseases,Cancer: specific types,map05224,Breast cancer
map04659,Organismal Systems,Immune system,map04659,Th17 cell differentiation
map04136,Cellular Processes,Transport and catabolism,map04136,Autophagy - other
map00403,Metabolism,Biosynthesis of other secondary metabolites,map00403,Indole diterpene alkaloid biosynthesis
map00520,Metabolism,Carbohydrate metabolism,map00520,Amino sugar and nucleotide sugar metabolism
map05202,Human Diseases,Cancer: overview,map05202,Transcriptional misregulation in cancer
map04142,Cellular Processes,Transport and catabolism,map04142,Lysosome
map00220,Metabolism,Amino acid metabolism,map00220,Arginine biosynthesis
map05213,Human Diseases,Cancer: specific types,map05213,Endometrial cancer
map05120,Human Diseases,Infectious disease: bacterial,map05120,Epithelial cell signaling in Helicobacter pylori infection
map04624,Organismal Systems,Immune system,map04624,Toll and Imd signaling pathway
map00062,Metabolism,Lipid metabolism,map00062,Fatty acid elongation
map00623,Metabolism,Xenobiotics biodegradation and metabolism,map00623,Toluene degradation
map03060,Genetic Information Processing,"Folding, sorting and degradation",map03060,Protein export
map04020,Environmental Information Processing,Signal transduction,map04020,Calcium signaling pathway
map05414,Human Diseases,Cardiovascular disease,map05414,Dilated cardiomyopathy
map04973,Organismal Systems,Digestive system,map04973,Carbohydrate digestion and absorption
map04913,Organismal Systems,Endocrine system,map04913,Ovarian steroidogenesis
map04727,Organismal Systems,Nervous system,map04727,GABAergic synapse
map04658,Organismal Systems,Immune system,map04658,Th1 and Th2 cell differentiation
map00195,Metabolism,Energy metabolism,map00195,Photosynthesis
map04932,Human Diseases,Endocrine and metabolic disease,map04932,Non-alcoholic fatty liver disease
map00900,Metabolism,Metabolism of terpenoids and polyketides,map00900,Terpenoid backbone biosynthesis
map05223,Human Diseases,Cancer: specific types,map05223,Non-small cell lung cancer
map05167,Human Diseases,Infectious disease: viral,map05167,Kaposi sarcoma-associated herpesvirus infection
map05225,Human Diseases,Cancer: specific types,map05225,Hepatocellular carcinoma
map00983,Metabolism,Xenobiotics biodegradation and metabolism,map00983,Drug metabolism - other enzymes
map02010,Environmental Information Processing,Membrane transport,map02010,ABC transporters
map01051,Metabolism,Metabolism of terpenoids and polyketides,map01051,Biosynthesis of ansamycins
map03050,Genetic Information Processing,"Folding, sorting and degradation",map03050,Proteasome
map00903,Metabolism,Metabolism of terpenoids and polyketides,map00903,Limonene and pinene degradation
map00965,Metabolism,Biosynthesis of other secondary metabolites,map00965,Betalain biosynthesis
map01120,Metabolism,Global and overview maps,map01120,Microbial metabolism in diverse environments
map00950,Metabolism,Biosynthesis of other secondary metabolites,map00950,Isoquinoline alkaloid biosynthesis
map04150,Environmental Information Processing,Signal transduction,map04150,mTOR signaling pathway
map04010,Environmental Information Processing,Signal transduction,map04010,MAPK signaling pathway
map05418,Human Diseases,Cardiovascular disease,map05418,Fluid shear stress and atherosclerosis
map05211,Human Diseases,Cancer: specific types,map05211,Renal cell carcinoma
map00040,Metabolism,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions
map04512,Environmental Information Processing,Signaling molecules and interaction,map04512,ECM-receptor interaction
map00430,Metabolism,Metabolism of other amino acids,map00430,Taurine and hypotaurine metabolism
map04711,Organismal Systems,Environmental adaptation,map04711,Circadian rhythm - fly
map04924,Organismal Systems,Endocrine system,map04924,Renin secretion
map04140,Cellular Processes,Transport and catabolism,map04140,Autophagy - animal
map00720,Metabolism,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes
